hotel_name,city,date,price_per_night,rating,season,is_weekend,year
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-11,134.07,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-11,156.04,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-11,139.84,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-11,175.20,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-11,148.74,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-11,104.00,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-11,135.31,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-11,101.34,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-11,82.93,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-11,87.36,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-11,107.33,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-11,99.37,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-12,328.08,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-12,214.58,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-12,230.61,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-12,204.54,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-12,212.16,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-12,130.10,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-12,148.00,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-12,106.18,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-12,140.03,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-12,127.78,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-12,149.03,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-12,93.65,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-12,118.21,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-12,98.65,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-12,135.62,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-12,137.68,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-12,140.36,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-12,152.18,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-12,135.36,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-12,77.76,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-12,90.99,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-13,257.23,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-13,241.29,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-13,221.37,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-13,174.80,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-13,155.30,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-13,115.18,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-13,111.88,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-13,135.58,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-13,125.33,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-13,183.97,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-13,131.83,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-13,124.58,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-13,110.73,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-13,115.80,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-13,109.61,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-13,107.81,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-13,147.76,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-13,92.14,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-13,118.06,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-13,118.11,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-13,65.80,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-14,263.33,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-14,246.96,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-14,271.78,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-14,172.15,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-14,215.57,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-14,145.27,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-14,145.38,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-14,118.33,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-14,170.13,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-14,150.86,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-14,174.03,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-14,158.82,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-14,157.70,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-14,126.45,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-14,140.47,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-14,101.92,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-14,92.44,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-14,134.26,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-14,89.29,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-14,74.50,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-14,96.49,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-15,262.59,4.7,Spring,Weekend,2025
Republica Hotel Yerevan,Yerevan,2025-03-15,267.07,4.5,Spring,Weekend,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-15,205.23,4.6,Spring,Weekend,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-15,244.77,4.4,Spring,Weekend,2025
Metropol Hotel Yerevan,Yerevan,2025-03-15,213.41,4.3,Spring,Weekend,2025
Grand Hotel Yerevan,Yerevan,2025-03-15,184.40,4.2,Spring,Weekend,2025
Opera Suite Hotel,Yerevan,2025-03-15,136.34,4.1,Spring,Weekend,2025
Silachi Hotel,Yerevan,2025-03-15,144.54,4.0,Spring,Weekend,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-15,182.83,4.6,Spring,Weekend,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-15,135.50,4.5,Spring,Weekend,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-15,145.26,4.4,Spring,Weekend,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-15,145.67,4.2,Spring,Weekend,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-15,190.06,4.7,Spring,Weekend,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-15,147.30,4.5,Spring,Weekend,2025
Dilijan Resort,Dilijan,2025-03-15,134.37,4.3,Spring,Weekend,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-15,130.87,4.4,Spring,Weekend,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-15,164.87,4.2,Spring,Weekend,2025
Jermuk Grand Hotel,Jermuk,2025-03-15,166.93,4.3,Spring,Weekend,2025
Grand Hotel Gyumri,Gyumri,2025-03-15,116.68,4.1,Spring,Weekend,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-15,113.11,4.0,Spring,Weekend,2025
Aleksandrapol Hotel,Gyumri,2025-03-15,119.01,3.9,Spring,Weekend,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-16,313.49,4.7,Spring,Weekend,2025
Republica Hotel Yerevan,Yerevan,2025-03-16,220.32,4.5,Spring,Weekend,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-16,285.10,4.6,Spring,Weekend,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-16,197.20,4.4,Spring,Weekend,2025
Metropol Hotel Yerevan,Yerevan,2025-03-16,228.85,4.3,Spring,Weekend,2025
Grand Hotel Yerevan,Yerevan,2025-03-16,120.81,4.2,Spring,Weekend,2025
Opera Suite Hotel,Yerevan,2025-03-16,122.56,4.1,Spring,Weekend,2025
Silachi Hotel,Yerevan,2025-03-16,163.28,4.0,Spring,Weekend,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-16,160.07,4.6,Spring,Weekend,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-16,177.49,4.5,Spring,Weekend,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-16,149.31,4.4,Spring,Weekend,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-16,130.97,4.2,Spring,Weekend,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-16,140.38,4.7,Spring,Weekend,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-16,106.81,4.5,Spring,Weekend,2025
Dilijan Resort,Dilijan,2025-03-16,146.32,4.3,Spring,Weekend,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-16,133.74,4.4,Spring,Weekend,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-16,157.48,4.2,Spring,Weekend,2025
Jermuk Grand Hotel,Jermuk,2025-03-16,130.40,4.3,Spring,Weekend,2025
Grand Hotel Gyumri,Gyumri,2025-03-16,117.73,4.1,Spring,Weekend,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-16,114.00,4.0,Spring,Weekend,2025
Aleksandrapol Hotel,Gyumri,2025-03-16,91.21,3.9,Spring,Weekend,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-17,231.29,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-17,222.52,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-17,198.24,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-17,204.47,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-17,208.61,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-17,111.47,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-17,112.02,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-17,155.30,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-17,165.19,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-17,157.67,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-17,133.51,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-17,122.15,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-17,138.25,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-17,112.42,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-17,157.54,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-17,105.39,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-17,149.79,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-17,88.14,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-17,100.76,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-17,86.42,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-17,69.85,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-18,230.21,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-18,189.94,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-18,223.89,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-18,224.70,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-18,163.28,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-18,107.35,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-18,137.48,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-18,116.49,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-18,177.13,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-18,153.51,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-18,135.33,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-18,100.73,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-18,189.18,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-18,154.55,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-18,109.96,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-18,146.91,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-18,107.80,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-18,149.20,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-18,105.38,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-18,121.40,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-18,79.14,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-19,276.38,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-19,206.29,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-19,269.18,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-19,191.46,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-19,178.19,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-19,138.94,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-19,101.56,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-19,128.81,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-19,129.77,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-19,162.39,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-19,152.58,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-19,113.47,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-19,140.93,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-19,108.93,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-19,94.73,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-19,146.84,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-19,126.10,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-19,140.20,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-19,85.68,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-19,79.88,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-19,73.71,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-20,271.54,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-20,202.09,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-20,203.33,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-20,215.07,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-20,180.48,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-20,121.21,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-20,134.84,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-20,101.64,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-20,165.62,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-20,154.53,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-20,126.04,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-20,127.83,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-20,121.43,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-20,109.83,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-20,97.24,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-20,154.47,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-20,124.97,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-20,98.63,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-20,121.00,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-20,109.23,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-20,104.60,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-21,286.60,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-21,227.36,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-21,261.93,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-21,202.97,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-21,163.83,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-21,139.86,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-21,107.38,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-21,123.40,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-21,164.49,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-21,148.26,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-21,144.64,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-21,134.93,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-21,149.50,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-21,119.57,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-21,91.05,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-21,103.94,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-21,130.02,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-21,97.66,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-21,98.66,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-21,99.59,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-21,94.37,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-22,249.46,4.7,Spring,Weekend,2025
Republica Hotel Yerevan,Yerevan,2025-03-22,247.33,4.5,Spring,Weekend,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-22,252.27,4.6,Spring,Weekend,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-22,240.03,4.4,Spring,Weekend,2025
Metropol Hotel Yerevan,Yerevan,2025-03-22,183.83,4.3,Spring,Weekend,2025
Grand Hotel Yerevan,Yerevan,2025-03-22,176.54,4.2,Spring,Weekend,2025
Opera Suite Hotel,Yerevan,2025-03-22,115.94,4.1,Spring,Weekend,2025
Silachi Hotel,Yerevan,2025-03-22,167.09,4.0,Spring,Weekend,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-22,177.33,4.6,Spring,Weekend,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-22,160.13,4.5,Spring,Weekend,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-22,118.12,4.4,Spring,Weekend,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-22,112.81,4.2,Spring,Weekend,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-22,172.02,4.7,Spring,Weekend,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-22,174.60,4.5,Spring,Weekend,2025
Dilijan Resort,Dilijan,2025-03-22,178.05,4.3,Spring,Weekend,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-22,99.67,4.4,Spring,Weekend,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-22,123.38,4.2,Spring,Weekend,2025
Jermuk Grand Hotel,Jermuk,2025-03-22,156.69,4.3,Spring,Weekend,2025
Grand Hotel Gyumri,Gyumri,2025-03-22,138.01,4.1,Spring,Weekend,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-22,98.82,4.0,Spring,Weekend,2025
Aleksandrapol Hotel,Gyumri,2025-03-22,118.02,3.9,Spring,Weekend,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-23,253.44,4.7,Spring,Weekend,2025
Republica Hotel Yerevan,Yerevan,2025-03-23,203.55,4.5,Spring,Weekend,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-23,222.47,4.6,Spring,Weekend,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-23,246.70,4.4,Spring,Weekend,2025
Metropol Hotel Yerevan,Yerevan,2025-03-23,215.60,4.3,Spring,Weekend,2025
Grand Hotel Yerevan,Yerevan,2025-03-23,174.89,4.2,Spring,Weekend,2025
Opera Suite Hotel,Yerevan,2025-03-23,114.24,4.1,Spring,Weekend,2025
Silachi Hotel,Yerevan,2025-03-23,117.93,4.0,Spring,Weekend,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-23,182.43,4.6,Spring,Weekend,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-23,192.98,4.5,Spring,Weekend,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-23,168.62,4.4,Spring,Weekend,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-23,123.33,4.2,Spring,Weekend,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-23,192.43,4.7,Spring,Weekend,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-23,111.08,4.5,Spring,Weekend,2025
Dilijan Resort,Dilijan,2025-03-23,117.50,4.3,Spring,Weekend,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-23,148.50,4.4,Spring,Weekend,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-23,163.45,4.2,Spring,Weekend,2025
Jermuk Grand Hotel,Jermuk,2025-03-23,136.91,4.3,Spring,Weekend,2025
Grand Hotel Gyumri,Gyumri,2025-03-23,108.34,4.1,Spring,Weekend,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-23,118.98,4.0,Spring,Weekend,2025
Aleksandrapol Hotel,Gyumri,2025-03-23,104.27,3.9,Spring,Weekend,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-24,268.34,4.7,Spring,Weekday,2025
Republica Hotel Yerevan,Yerevan,2025-03-24,211.00,4.5,Spring,Weekday,2025
DoubleTree by Hilton Yerevan,Yerevan,2025-03-24,213.75,4.6,Spring,Weekday,2025
Ani Grand Hotel Yerevan,Yerevan,2025-03-24,233.62,4.4,Spring,Weekday,2025
Metropol Hotel Yerevan,Yerevan,2025-03-24,162.55,4.3,Spring,Weekday,2025
Grand Hotel Yerevan,Yerevan,2025-03-24,137.11,4.2,Spring,Weekday,2025
Opera Suite Hotel,Yerevan,2025-03-24,135.71,4.1,Spring,Weekday,2025
Silachi Hotel,Yerevan,2025-03-24,106.91,4.0,Spring,Weekday,2025
Marriott Tsaghkadzor,Tsaghkadzor,2025-03-24,165.63,4.6,Spring,Weekday,2025
Kecharis Hotel & Resort,Tsaghkadzor,2025-03-24,160.70,4.5,Spring,Weekday,2025
Ararat Resort Tsaghkadzor,Tsaghkadzor,2025-03-24,162.85,4.4,Spring,Weekday,2025
Golden Palace Tsaghkadzor,Tsaghkadzor,2025-03-24,141.07,4.2,Spring,Weekday,2025
Tufenkian Old Dilijan Complex,Dilijan,2025-03-24,150.76,4.7,Spring,Weekday,2025
Best Western Plus Paradise Hotel Dilijan,Dilijan,2025-03-24,148.24,4.5,Spring,Weekday,2025
Dilijan Resort,Dilijan,2025-03-24,159.19,4.3,Spring,Weekday,2025
Jermuk Olympia Sanatorium,Jermuk,2025-03-24,115.14,4.4,Spring,Weekday,2025
Jermuk Ashkharh Health Center,Jermuk,2025-03-24,102.42,4.2,Spring,Weekday,2025
Jermuk Grand Hotel,Jermuk,2025-03-24,158.60,4.3,Spring,Weekday,2025
Grand Hotel Gyumri,Gyumri,2025-03-24,117.56,4.1,Spring,Weekday,2025
Berlin Art Hotel Gyumri,Gyumri,2025-03-24,75.86,4.0,Spring,Weekday,2025
Aleksandrapol Hotel,Gyumri,2025-03-24,97.17,3.9,Spring,Weekday,2025
"The Alexander, a Luxury Collection Hotel, Yerevan",Yerevan,2025-03-25,291.54,4.7,Spring,Weekday,2025
